,MktCap
0,231.405
1,244.077
2,154.591
3,42.238
4,195.671
5,100.765
6,330.285
7,160.134
8,544.825
9,632.085
10,133.836
11,265.563
12,139.521
13,88.687
14,17.947
15,62.465
16,122.51
17,83.828
18,182.775
19,306.188
20,34.227
21,22.629
22,116.776
23,46.336
24,382.438
25,28.138
26,199.867
27,62.583
28,10.384
29,147.218
30,16.016
31,1.624
32,63.988
33,83.61
34,142.347
35,137.435
36,490.402
37,61.589
38,1.3
39,1.226
40,55.162
41,25.615
42,22.192
43,851.419
44,26.623
45,43.937
46,1.934
47,996.269
48,288.365
49,241.656
50,18.357
51,27.741
52,551.524
53,222.476
54,149.432
55,61.444
56,165.973
57,249.766
58,492.354
59,65.863
60,230.136
61,176.67
62,128.488
63,854.239
64,3.069
65,351.426
66,511.565
67,43.708
68,30.683
69,10.913
70,46.714
71,46.722
72,88.248
73,14.643
74,377.653
75,28.01
76,927.515
77,12.494
78,32.546
79,80.725
80,5.159
81,125.672
82,369.313
83,47.815
84,147.166
85,27.78
86,29.239
87,45.373
88,118.452
89,35.06
90,92.498
91,30.227
92,29.216
93,28.692
94,26.695
95,64.076
96,11.415
97,61.522
98,171.83
99,543.743
100,89.142
101,777.428
102,42.961
103,4.193
104,379.818
105,261.874
106,226.526
107,59.344
108,248.295
109,75.666
110,151.332
111,106.085
112,31.248
113,13.629
114,24.634
115,51.755
116,342.954
117,861.248
118,129.076
119,70.771
120,24.533
121,39.586
122,4.378
123,38.282
124,13.533
125,25.105
126,585.226
127,74.602
128,154.838
129,688.63
130,53.765
131,35.694
132,57.283
133,508.962
134,24.806
135,105.836
136,122.644
137,45.308
138,18.833
139,58.799
140,134.152
141,59.282
142,132.177
143,44.985
144,103.674
145,19.856
146,65.056
147,41.921
148,56.916
149,29.431
150,97.954
151,19.644
152,22.407
153,57.094
154,436.356
155,33.388
156,20.689
157,14.499
158,120.66
159,54.769
160,32.612
161,3.004
162,255.982
163,163.98
164,262.24
165,119.216
166,49.09
167,85.355
168,709.64
169,118.266
170,224.188
171,60.798
172,32.052
173,383.534
174,31.848
175,20.184
176,54.747
177,24.098
178,202.803
179,13.118
180,24.688
181,38.675
182,22.155
183,117.286
184,29.109
185,28.017
186,1.704
187,521.307
188,5.834
189,1.21
190,16.119
191,70.18
192,103.932
193,358.832
194,39.147
195,11.446
196,542.257
197,107.906
198,20.647
199,5.578
200,370.287
201,281.934
202,34.187
203,319.697
204,5.375
205,794.797
206,249.68
207,69.766
208,3.101
209,2.231
210,568.047
211,617.637
212,175.227
213,24.661
214,394.053
215,145.212
216,29.373
217,15.551
218,12.099
219,27.203
220,40.067
221,40.912
222,2.383
223,8.28
224,113.281
225,36.103
226,19.731
227,93.701
228,4.033
229,26.393
230,63.763
231,67.31
232,55.568
233,92.89
234,793.143
235,167.985
236,34.645
237,284.832
238,359.683
239,45.524
240,372.185
241,3.863
242,22.135
243,16.678
244,380.794
245,224.453
246,55.214
247,107.685
248,33.118
249,17.521
250,15.993
251,70.583
252,71.626
253,483.367
254,10.995
255,15.777
256,5.12
257,11.806
258,11.378
259,18.194
260,16.433
261,18.856
262,180.597
